iter	RMSE
0	20.94352276
1	17.33456836
2	14.55278374
3	12.33845172
4	10.4804004
5	9.004191173
6	7.863084912
7	6.976988675
8	6.312341347
9	5.730694456
10	5.279615448
11	4.952923386
12	4.70310552
13	4.482724504
14	4.301492953
15	4.140688453
16	4.020560774
17	3.921224907
18	3.815662652
19	3.75039605
20	3.684914617
21	3.613100869
22	3.571472823
23	3.517626213
24	3.454987718
25	3.385720977
26	3.318055625
27	3.291602917
28	3.238034638
29	3.194951522
30	3.126144799
31	3.082940949
32	3.046790279
33	3.025349213
34	3.004240706
35	2.977175964
36	2.951328168
37	2.922240117
38	2.895693814
39	2.878229066
40	2.859946065
41	2.834816899
42	2.818906079
43	2.77678592
44	2.763468049
45	2.744218254
46	2.714914609
47	2.689989136
48	2.660598928
49	2.644356723
50	2.630379072
51	2.615646651
52	2.602003065
53	2.586004734
54	2.562347424
55	2.535867863
56	2.523629485
57	2.493795959
58	2.477780726
59	2.457301023
60	2.443397716
61	2.43348601
62	2.418423796
63	2.404474661
64	2.387165814
65	2.375986186
66	2.362351366
67	2.347758152
68	2.331476965
69	2.316756862
70	2.306118123
71	2.2934119
72	2.272996806
73	2.261435852
74	2.250141026
75	2.238634256
76	2.226123097
77	2.215628336
78	2.201747315
79	2.191294612
80	2.176760014
81	2.165835669
82	2.151798552
83	2.140862892
84	2.129524784
85	2.113126808
86	2.104714848
87	2.095242823
88	2.084485597
89	2.073033879
90	2.060961636
91	2.050838678
92	2.040224009
93	2.032505166
94	2.024381525
95	2.01495046
96	2.007700335
97	2.000236907
98	1.991960042
99	1.987140912
100	1.981313309
101	1.970508202
102	1.962154583
103	1.952777196
104	1.943440305
105	1.93390856
106	1.925666185
107	1.919541943
108	1.913191509
109	1.906910701
110	1.898409745
111	1.886975275
112	1.879033474
113	1.872865651
114	1.86343434
115	1.855997354
116	1.848432027
117	1.843354949
118	1.837156465
119	1.830350906
120	1.826307629
121	1.818019401
122	1.810595898
123	1.797070189
124	1.791042613
125	1.786507862
126	1.780829475
127	1.773807725
128	1.768306929
129	1.762440059
130	1.754682603
131	1.748292913
132	1.739868991
133	1.732191358
134	1.727819673
135	1.720814072
136	1.714002422
137	1.708828829
138	1.703323146
139	1.696938687
140	1.691530687
141	1.685927922
142	1.682097165
143	1.674675699
144	1.670945042
145	1.666309501
146	1.662206666
147	1.658117652
148	1.653709837
149	1.648528071
150	1.644526318
151	1.640209894
152	1.635638176
153	1.628998655
154	1.626014927
155	1.622995282
156	1.616007644
157	1.611196562
158	1.605632869
159	1.598914625
160	1.593620248
161	1.589632542
162	1.586850345
163	1.58105154
164	1.576320741
165	1.57176198
166	1.566582026
167	1.561060404
168	1.555387037
169	1.551381081
170	1.546350314
171	1.541987722
172	1.538031519
173	1.533888048
174	1.529189961
175	1.524970588
176	1.52042961
177	1.515815387
178	1.509692926
179	1.505612313
180	1.50299278
181	1.498877323
182	1.494859363
183	1.491130832
184	1.488729543
185	1.484395983
186	1.47996323
187	1.476520381
188	1.471018276
189	1.465990535
190	1.462947444
191	1.458446537
192	1.456103612
193	1.452188579
194	1.449942975
195	1.44651341
196	1.441829814
197	1.439199091
198	1.435578025
199	1.430874071
200	1.427143116
201	1.42402447
202	1.420700505
203	1.418654009
204	1.414883519
205	1.41289338
206	1.409661007
207	1.406081453
208	1.402789554
209	1.39957906
210	1.395232004
211	1.391200943
212	1.388358809
213	1.384992825
214	1.381921711
215	1.378846727
216	1.375443974
217	1.370788315
218	1.368296313
219	1.365542015
220	1.36347735
221	1.359550164
222	1.353611328
223	1.351110659
224	1.349006715
225	1.34572428
226	1.342223579
227	1.338398614
228	1.335708439
229	1.333781817
230	1.330617391
231	1.327556561
232	1.325785067
233	1.323180366
234	1.320391477
235	1.318468981
236	1.316556115
237	1.314550794
238	1.311265569
239	1.30747334
240	1.305717664
241	1.303866582
242	1.301629722
243	1.299405194
244	1.296228566
245	1.290727667
246	1.288718855
247	1.285812071
248	1.282309198
249	1.280079219
250	1.278017093
251	1.276064633
252	1.274027394
253	1.272088767
254	1.268220285
255	1.265755565
256	1.262863906
257	1.26079149
258	1.258309333
259	1.256854521
260	1.25505043
261	1.252022052
262	1.249736419
263	1.247507815
264	1.245954713
265	1.243333982
266	1.24042921
267	1.238534803
268	1.236293568
269	1.233976095
270	1.232276399
271	1.230556384
272	1.228696836
273	1.22601932
274	1.223622876
275	1.220218985
276	1.217715921
277	1.216110665
278	1.21300884
279	1.211517625
280	1.207634478
281	1.205845277
282	1.203977682
283	1.202026375
284	1.200788899
285	1.199377897
286	1.197605888
287	1.196224667
288	1.194640068
289	1.192356622
290	1.190554112
291	1.188569311
292	1.186447485
293	1.184138165
294	1.18303138
295	1.180612099
296	1.177969219
297	1.175633978
298	1.174514359
299	1.172957047
300	1.171836836
301	1.170010202
302	1.168016678
303	1.165899273
304	1.164152628
305	1.162231879
306	1.16072215
307	1.159288486
308	1.157145187
309	1.156050526
310	1.154545641
311	1.152623666
312	1.150901024
313	1.149294552
314	1.147603414
315	1.146257703
316	1.143895047
317	1.142220103
318	1.140028913
319	1.137942486
320	1.136766304
321	1.134718315
322	1.132716517
323	1.130656211
324	1.1294694
325	1.127968875
326	1.126949962
327	1.122175196
328	1.120696923
329	1.119074018
330	1.11732364
331	1.115154452
332	1.113430963
333	1.112182351
334	1.109917196
335	1.108551537
336	1.106736859
337	1.105432846
338	1.1041673
339	1.102805809
340	1.09964773
341	1.098508118
342	1.096892477
343	1.095729627
344	1.094308069
345	1.093469464
346	1.092144202
347	1.090606806
348	1.088718206
349	1.087554601
350	1.086202912
351	1.085234326
352	1.083585596
353	1.081860491
354	1.080699735
355	1.079017366
356	1.076982188
357	1.075172674
358	1.074328814
359	1.072962631
360	1.071538206
361	1.069875522
362	1.068400245
363	1.066858008
364	1.065300879
365	1.063930333
366	1.062155074
367	1.06011266
368	1.059335278
369	1.058251271
370	1.056684156
371	1.055324422
372	1.054353125
373	1.051825983
374	1.050786917
375	1.049227253
376	1.047652564
377	1.046892176
378	1.045649587
379	1.04431788
380	1.042962662
381	1.040469678
382	1.03926298
383	1.037336135
384	1.036038121
385	1.03337544
386	1.032000081
387	1.030169031
388	1.028765493
389	1.027660973
390	1.025903067
391	1.024663261
392	1.023559436
393	1.022062733
394	1.020906665
395	1.019768876
396	1.018360945
397	1.016793804
398	1.015993583
399	1.014528466
400	1.013393806
401	1.011976198
402	1.01039566
403	1.009556711
404	1.00729787
