iter	Passed	Remaining
0	48	115305
1	65	78469
2	85	68704
3	107	64162
4	112	54052
5	119	47798
6	140	48062
7	152	45543
8	156	41553
9	161	38536
10	166	36149
11	186	37119
12	199	36633
13	204	34867
14	208	33196
15	213	31746
16	232	32642
17	249	32980
18	254	31900
19	258	30808
20	262	29778
21	274	29655
22	294	30474
23	301	29864
24	306	29119
25	310	28362
26	314	27684
27	341	28959
28	348	28495
29	354	28003
30	358	27416
31	363	26902
32	386	27728
33	396	27600
34	400	27092
35	405	26607
36	409	26141
37	418	26026
38	442	26794
39	448	26444
40	452	26058
41	457	25669
42	461	25273
43	474	25387
44	492	25792
45	497	25482
46	502	25176
47	508	24893
48	512	24595
49	526	24761
50	543	25043
51	553	24984
52	558	24730
53	563	24462
54	586	25006
55	596	24981
56	601	24707
57	605	24446
58	610	24211
59	627	24489
60	643	24665
61	647	24423
62	652	24203
63	656	23976
64	661	23778
65	692	24487
66	697	24272
67	702	24077
68	706	23877
69	711	23672
70	741	24313
71	746	24141
72	751	23945
73	756	23769
74	761	23598
75	788	24106
76	793	23950
77	798	23785
78	803	23606
79	808	23441
80	822	23537
81	827	23378
82	832	23246
83	837	23089
84	841	22926
85	858	23105
86	873	23233
87	878	23070
88	885	23002
89	890	22849
90	899	22814
91	918	23035
92	925	22956
93	929	22814
94	934	22678
95	939	22549
96	959	22789
97	974	22890
98	979	22766
99	984	22634
100	989	22513
101	1000	22541
102	1019	22743
103	1024	22620
104	1029	22508
105	1034	22384
106	1038	22260
107	1070	22710
108	1074	22584
109	1079	22464
110	1083	22351
111	1088	22238
112	1111	22489
113	1122	22499
114	1126	22383
115	1131	22272
116	1136	22173
117	1143	22122
118	1162	22287
119	1171	22265
120	1176	22167
121	1181	22060
122	1186	21970
123	1213	22271
124	1221	22234
125	1228	22172
126	1233	22070
127	1238	21974
128	1262	22234
129	1271	22198
130	1275	22097
131	1281	22021
132	1286	21931
133	1317	22276
134	1322	22184
135	1326	22086
136	1331	21999
137	1336	21907
138	1367	22247
139	1372	22156
140	1376	22059
141	1381	21963
142	1386	21878
143	1415	22183
144	1420	22092
145	1425	22011
146	1430	21922
147	1434	21832
148	1448	21883
149	1467	22011
150	1471	21921
151	1477	21845
152	1481	21761
153	1486	21678
154	1491	21605
155	1497	21538
156	1516	21667
157	1521	21585
158	1525	21507
159	1531	21437
160	1536	21362
161	1540	21284
162	1556	21364
163	1567	21369
164	1572	21301
165	1577	21228
166	1582	21160
167	1587	21084
168	1591	21013
169	1610	21129
170	1619	21113
171	1627	21079
172	1632	21008
173	1636	20941
174	1641	20874
175	1655	20924
176	1667	20943
177	1674	20908
178	1682	20873
179	1691	20866
180	1714	21013
181	1718	20948
182	1723	20884
183	1728	20821
184	1733	20755
185	1738	20694
186	1747	20684
187	1762	20742
188	1768	20684
189	1773	20623
190	1777	20556
191	1782	20500
192	1786	20431
193	1791	20369
194	1808	20451
195	1815	20411
196	1820	20359
197	1825	20297
198	1829	20240
199	1834	20184
200	1839	20126
201	1860	20244
202	1865	20186
203	1870	20131
204	1875	20081
205	1880	20026
206	1885	19974
207	1890	19919
208	1914	20066
209	1918	20011
210	1923	19958
211	1929	19908
212	1934	19857
213	1939	19815
214	1961	19932
215	1966	19883
216	1971	19831
217	1976	19780
218	1981	19732
219	1986	19680
220	1996	19684
221	2010	19724
222	2015	19674
223	2020	19629
224	2025	19576
225	2030	19533
226	2035	19484
227	2044	19478
228	2059	19528
229	2064	19479
230	2069	19433
231	2074	19387
232	2079	19340
233	2084	19296
234	2100	19353
235	2110	19350
236	2115	19305
237	2119	19256
238	2125	19214
239	2130	19172
240	2135	19128
241	2155	19224
242	2162	19195
243	2168	19157
244	2173	19115
245	2178	19077
246	2183	19034
247	2203	19121
248	2210	19092
249	2215	19052
250	2220	19010
251	2225	18971
252	2231	18934
253	2246	18978
254	2257	18990
255	2262	18946
256	2267	18906
257	2272	18864
258	2276	18822
259	2282	18784
260	2291	18778
261	2300	18772
262	2308	18755
263	2313	18714
264	2317	18673
265	2322	18635
266	2327	18596
267	2332	18556
268	2354	18648
269	2359	18612
270	2363	18570
271	2368	18529
272	2373	18493
273	2378	18455
274	2383	18416
275	2404	18507
276	2410	18473
277	2416	18444
278	2421	18411
279	2441	18482
280	2446	18445
281	2450	18408
282	2456	18374
283	2461	18337
